id,difficulty,correct_option,is_correct_preliminary,is_correct_updated,preliminary_confidence,updated_confidence,confidence_delta,cq_type
medqa_0807,hard,A,True,True,70,95,25,EPISTEMIC
medqa_0889,medium,A,True,True,60,95,35,EPISTEMIC
medqa_1050,medium,C,True,True,90,95,5,EPISTEMIC
medqa_0943,easy,D,True,True,95,95,0,EPISTEMIC
medqa_0896,easy,D,True,True,45,95,50,EPISTEMIC
medqa_0052,easy,D,True,True,90,95,5,EPISTEMIC
medqa_0607,easy,C,True,True,25,95,70,EPISTEMIC
medqa_1182,easy,A,True,True,90,95,5,EPISTEMIC
medqa_0410,easy,C,False,True,50,95,45,EPISTEMIC
medqa_1164,medium,A,False,False,20,85,65,EPISTEMIC
medqa_0467,hard,D,True,False,0,80,80,EPISTEMIC
medqa_0610,medium,A,True,True,95,98,3,EPISTEMIC
medqa_0627,hard,C,False,False,70,85,15,EPISTEMIC
medqa_0702,medium,C,True,True,90,95,5,EPISTEMIC
medqa_0552,hard,A,False,False,40,90,50,EPISTEMIC
medqa_0258,medium,D,True,True,40,65,25,EPISTEMIC
medqa_0711,easy,C,True,True,75,95,20,EPISTEMIC
medqa_0128,medium,A,False,True,70,90,20,EPISTEMIC
medqa_1158,hard,D,True,True,85,95,10,EPISTEMIC
medqa_0138,easy,B,True,True,90,95,5,EPISTEMIC
medqa_0529,easy,B,True,False,75,95,20,EPISTEMIC
medqa_0770,easy,B,False,False,75,90,15,EPISTEMIC
medqa_0569,hard,B,False,False,65,95,30,EPISTEMIC
medqa_1077,hard,A,True,True,90,95,5,EPISTEMIC
medqa_0857,easy,C,True,True,20,98,78,EPISTEMIC
medqa_1083,easy,A,True,False,45,90,45,EPISTEMIC
medqa_0025,easy,D,True,True,60,95,35,EPISTEMIC
medqa_0324,medium,A,False,True,30,95,65,EPISTEMIC
medqa_1125,easy,C,True,True,85,95,10,EPISTEMIC
medqa_0088,hard,C,False,False,60,90,30,EPISTEMIC
medqa_0749,easy,C,False,False,35,95,60,EPISTEMIC
medqa_1081,easy,D,True,True,75,95,20,EPISTEMIC
medqa_0381,medium,C,True,True,70,85,15,EPISTEMIC
medqa_1172,easy,D,True,True,75,95,20,EPISTEMIC
medqa_0932,easy,D,False,True,50,90,40,EPISTEMIC
medqa_1063,easy,D,True,True,95,95,0,EPISTEMIC
medqa_0885,hard,C,False,False,45,90,45,EPISTEMIC
medqa_0458,easy,C,True,True,75,95,20,ALEATORIC
medqa_1212,easy,B,True,True,65,95,30,EPISTEMIC
medqa_0920,easy,A,True,False,55,90,35,EPISTEMIC
medqa_0334,easy,B,True,True,90,95,5,EPISTEMIC
medqa_0393,easy,A,True,True,90,95,5,EPISTEMIC
medqa_1171,hard,C,True,True,75,95,20,EPISTEMIC
medqa_0628,medium,C,True,True,5,95,90,EPISTEMIC
medqa_1269,hard,D,False,False,60,75,15,EPISTEMIC
medqa_0099,easy,B,True,True,95,98,3,EPISTEMIC
medqa_0207,easy,A,True,True,90,90,0,EPISTEMIC
medqa_0912,medium,B,True,True,75,95,20,EPISTEMIC
medqa_0423,hard,D,True,True,80,95,15,EPISTEMIC
medqa_0863,medium,A,False,True,30,95,65,EPISTEMIC
medqa_1198,medium,B,True,False,90,90,0,EPISTEMIC
medqa_1216,hard,A,False,False,65,80,15,EPISTEMIC
medqa_0989,medium,B,False,False,70,85,15,EPISTEMIC
medqa_0682,medium,D,True,True,25,60,35,EPISTEMIC
medqa_0278,easy,A,False,True,15,90,75,EPISTEMIC
medqa_0983,easy,C,False,True,60,95,35,EPISTEMIC
medqa_0620,easy,C,False,False,65,95,30,EPISTEMIC
medqa_1097,easy,C,False,False,60,90,30,EPISTEMIC
medqa_0732,medium,B,False,True,65,90,25,EPISTEMIC
medqa_0028,hard,D,False,True,65,95,30,EPISTEMIC
medqa_0644,medium,B,True,False,0,0,0,EPISTEMIC
medqa_0400,medium,B,False,True,60,95,35,EPISTEMIC
medqa_0426,hard,B,True,True,10,95,85,EPISTEMIC
medqa_0281,easy,C,True,True,95,95,0,EPISTEMIC
medqa_0847,easy,C,True,True,100,95,-5,EPISTEMIC
